Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
8/15/17,RH1 81517,"1,2",1,1,2A,13,54216,0,0,3,9454,2,2845,,,,,
8/17/17,RH1 81717,1,2,1,2A,0,0,2,1543,4,6361,0,0,,,,,
9/28/17,RH1,1,1,1,2A_2,0,0,0,0,1,915,0,0,,,,,
9/30/17,RH1,1,2,1,2A_2,0,0,0,0,1,1415,0,0,,,,,
10/2/17,RH1,1,3,1,2A_2,0,0,0,0,0,0,0,0,,,,,
10/7/17,RH1,1,1,1,2A_3,0,0,0,0,0,0,0,0,,,,,
10/9/17,RH1,1,2,1,2A_3,0,0,0,0,0,0,0,0,,,,,
10/11/17,RH1,1,3,1,2A_3,13,35705,34,69574,25,118401,14,111731,,,,,
8/15/17,RH1 81517,"1,2",1,2,2B,0,0,0,0,0,0,0,0,,,,,
8/17/17,RH1 81717,1,2,2,2B,2,5378,0,0,0,0,1,4594,,,,,
8/19/17,RH1,1,3,2,2B,8,65474,0,0,0,0,4,11070,,,,,
9/28/17,RH1,1,1,2,2B_2,3,2278,3,32767,12,35665,6,1953,,,,,
9/30/17,RH1,1,2,2,2B_2,10,15251,10,13364,2,21168,3,18249,,,,,
10/2/17,RH1,1,3,2,2B_2,9,10915,0,0,2,6267,0,0,,,,,
10/7/17,RH1,1,1,2,2B_3,0,0,21,53078,11,44366,13,41954,,,,,
10/9/17,RH1,1,2,2,2B_3,8,32909,31,97836,4,10202,10,36394,,,,,
10/11/17,RH1,1,3,2,2B_3,16,64931,12,21240,11,34044,10,44233,,,,,
8/15/17,RH4 81517,"1,2",1,7,2C,0,0,2,1384,1,606,0,0,,,,,
8/17/17,RH4 81717,"1,2,3,4,5,6,7,8,9,10,11,12",2,7,2C,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
8/19/17,RH4,1,3,7,2C,6,11799,0,0,2,1391,3,1666,,,,,
9/28/17,RH4,"1,2",1,7,2C_2,0,0,0,0,0,0,0,0,,,,,
9/30/17,RH4,1,2,7,2C_2,0,0,3,1083,0,0,0,0,,,,,
10/2/17,RH4,1,3,7,2C_2,0,0,12,11962,0,0,2,2313,,,,,
10/7/17,RH4,"1,2",1,7,2C_3,0,0,0,0,0,0,0,0,,,,,
10/9/17,RH4,1,2,7,2C_3,0,0,0,0,0,0,0,0,,,,,
10/11/17,RH4,1,3,7,2C_3,0,0,0,0,0,0,0,0,,,,,
8/15/17,RH4 81517,"1,2",1,8,2D,9,30535,2,4376,19,51555,14,32322,,,,,
8/17/17,RH4 81717,"1,2,3,4,5,6,7,8,9,10,11,12",2,8,2D,NA,NA,NA,NA,,,13,68571,,,,,
8/19/17,RH4,1,3,8,2D,11,37026,4,16031,0,0,0,0,,,,,
9/28/17,RH4,"1,2",1,8,2D_2,0,0,8,44660,0,0,0,0,,,,,
9/30/17,RH4,1,2,8,2D_2,0,0,12,46428,22,88983,17,135106,,,,,
10/2/17,RH4,1,3,8,2D_2,7,21452,32,72879,2,10941,11,36973,,,,,
10/7/17,RH4,"1,2",1,8,2D_3,0,0,0,0,0,0,0,0,,,,,
10/9/17,RH4,1,2,8,2D_3,0,0,0,0,0,0,0,0,,,,,
10/11/17,RH4,1,3,8,2D_3,0,0,0,0,0,0,0,0,,,,,
8/15/17,RH1 81517,3,1,1,2E,0,0,NA,NA,,,0,0,,,,,
9/28/17,RH1,2,1,1,2E_2,1,9735,0,0,9,13254,0,0,,,,,
9/30/17,RH1,2,2,1,2E_2,0,0,0,0,0,0,1,899,,,,,
10/7/17,RH1,2,1,1,2E_3,0,0,0,0,1,,0,0,,,,,
10/9/17,RH1,2,2,1,2E_3,0,0,0,0,0,0,0,0,,,,,
10/11/17,RH1,2,3,1,2E_3,0,0,0,0,0,0,0,0,,,,,
