date,camera,trial,tank,group_ID,move1,move2,move3,move4,move5,move6,move7,move8,move_numchases,move_timechases
10117,RH3,2,5,8I_2,3,5,8,9,14,89,300,300,50,117199
10117,RH3,2,5,8M_2,4,5,6,8,11,11,12,20,28,35335
10117,RH3,2,6,8N_2,2,5,7,7,8,9,24,26,0,0
10117,RH4,2,7,2L_2,2,3,-,-,-,-,-,-,24,103270
10117,RH4,2,8,2M_2,22,26,-,-,-,-,-,-,0,0
10117,RH4,2,7,2P_2,5,6,-,-,-,-,-,-,0,0
10117,RH2,2,3,4I_2,5,10,24,26,-,-,-,-,0,0
10117,RH2,2,3,4M_2,8,46,50,56,-,-,-,-,4,3021
10117,RH2,2,4,4O_2,5,12,26,73,-,-,-,-,8,7064
10117,RH5,2,9,4P_2,2,2,3,4,-,-,-,-,14,18642
10117,RH6,2,11,8K_2,4,5,6,6,10,11,11,18,1,1343
10117,RH6,2,12,8L_2,1,3,3,6,6,7,8,30,2,3750
10117,RH6,2,11,8O_2,4,5,5,5,7,7,8,11,36,30845
10117,RH6,2,12,8P_2,5,5,6,6,11,13,16,28,7,15559
81517,RH1,1,1,2A,29,54,-,-,-,-,-,-,2,2845
81517,RH1,1,2,2B,3,33,-,-,-,-,-,-,0,0
81517,RH1,1,1,2E,3,6,-,-,-,-,-,-,0,0
81517,RH1,1,2,2F,4,121,-,-,-,-,-,-,1,653
81517,RH3,1,5,8B,5,8,9,21,25,63,79,300,38,27696
81517,RH3,1,6,8D,3,3,6,7,7,12,20,65,5,1474
81517,RH3,1,6,8F,1,2,7,7,8,8,8,9,0,0
81517,RH4,1,7,2C,6,42,-,-,-,-,-,-,0,0
81517,RH4,1,8,2D,72,94,-,-,-,-,-,-,14,32322
81517,RH4,1,7,2H,NA,NA,-,-,-,-,-,-,-,-
81517,RH4,1,8,2G,4,36,-,-,-,-,-,-,0,0
81517,RH5,1,9,4C,NA,NA,-,-,-,-,-,-,-,-
81517,RH5,1,10,4D,4,6,40,98,-,-,-,-,26,31477
81517,RH6,1,11,8E,2,2,3,3,4,6,8,9,5,3905
81517,RH6,1,12,8G,5,7,8,8,11,12,18,24,0,0
81617,RH1,1,1,2I,21,78,-,-,-,-,-,-,0,0
81617,RH1,1,2,2J,20,24,-,-,-,-,-,-,0,0
81617,RH1,1,1,2M,10,16,-,-,-,-,-,-,0,0
81617,RH1,1,2,2N,NA,NA,-,-,-,-,-,-,-,-
81617,RH2,1,3,4I,5,6,16,69,-,-,-,-,5,2432
81617,RH2,1,4,4K,18,20,21,29,-,-,-,-,1,203
81617,RH2,1,3,4M,4,6,14,19,-,-,-,-,0,0
81617,RH2,1,4,4N,7,9,11,12,-,-,-,-,19,70521
81617,RH3,1,5,8J,1,2,3,8,9,11,15,19,4,1221
81617,RH3,1,6,8I,4,5,6,6,12,13,17,18,0,0
81617,RH3,1,5,8O,1,4,5,7,7,11,20,20,6,8849
81617,RH3,1,6,8P,1,1,1,1,8,8,11,NA,1,359
81617,RH4,1,7,2K,21,41,-,-,-,-,-,-,0,0
81617,RH4,1,8,2L,11,23,-,-,-,-,-,-,0,0
81617,RH4,1,7,2O,NA,NA,-,-,-,-,-,-,-,-
