date,camera,trial,tank,group_ID,move1,move2,move3,move4,move5,move6,move7,move8
10117,RH3,2,5,8I_2,3,5,8,9,14,89,NA,NA
10117,RH3,2,5,8M_2,4,5,6,8,11,11,12,20
10117,RH3,2,6,8N_2,2,5,7,7,8,9,24,26
10117,RH4,2,7,2L_2,2,3,-,-,-,-,-,-
10117,RH4,2,8,2M_2,22,26,-,-,-,-,-,-
10117,RH4,2,7,2P_2,5,6,-,-,-,-,-,-
10117,RH2,2,3,4I_2,5,10,24,26,-,-,-,-
10117,RH2,2,3,4M_2,8,46,50,56,-,-,-,-
10117,RH2,2,4,4O_2,5,12,26,73,-,-,-,-
10117,RH5,2,9,4P_2,2,2,3,4,-,-,-,-
10117,RH6,2,11,8K_2,4,5,6,6,10,11,11,18
10117,RH6,2,12,8L_2,1,3,3,6,6,7,8,30
10117,RH6,2,11,8O_2,4,5,5,5,7,7,8,11
10117,RH6,2,12,8P_2,5,5,6,6,11,13,16,28
81517,RH1,1,1,2A,29,54,-,-,-,-,-,-
81517,RH1,1,2,2B,3,33,-,-,-,-,-,-
81517,RH1,1,1,2E,3,6,-,-,-,-,-,-
81517,RH1,1,2,2F,4,121,-,-,-,-,-,-
81517,RH3,1,5,8B,5,8,9,21,25,63,79,300
81517,RH3,1,6,8D,3,3,6,7,7,12,20,65
81517,RH3,1,6,8F,1,2,7,7,8,8,8,9
81517,RH4,1,7,2C,6,42,-,-,-,-,-,-
81517,RH4,1,8,2D,72,94,-,-,-,-,-,-
81517,RH4,1,7,2H,NA,NA,-,-,-,-,-,-
81517,RH4,1,8,2G,4,36,-,-,-,-,-,-
81517,RH5,1,9,4C,NA,NA,-,-,-,-,-,-
81517,RH5,1,10,4D,4,6,40,98,-,-,-,-
81517,RH6,1,11,8E,2,2,3,3,4,6,8,9
81517,RH6,1,12,8G,5,7,8,8,11,12,18,24
81617,RH1,1,1,2I,21,78,-,-,-,-,-,-
81617,RH1,1,2,2J,20,24,-,-,-,-,-,-
81617,RH1,1,1,2M,10,16,-,-,-,-,-,-
81617,RH1,1,2,2N,NA,NA,-,-,-,-,-,-
81617,RH2,1,3,4I,5,6,16,69,-,-,-,-
81617,RH2,1,4,4K,18,20,21,29,-,-,-,-
81617,RH2,1,3,4M,4,6,14,19,-,-,-,-
81617,RH2,1,4,4N,7,9,11,12,-,-,-,-
81617,RH3,1,5,8J,1,2,3,8,9,11,15,19
81617,RH3,1,6,8I,4,5,6,6,12,13,17,18
81617,RH3,1,5,8O,1,4,5,7,7,11,20,20
81617,RH3,1,6,8P,1,1,1,1,8,8,11,NA
81617,RH4,1,7,2K,21,41,-,-,-,-,-,-
81617,RH4,1,8,2L,11,23,-,-,-,-,-,-
81617,RH4,1,7,2O,NA,NA,-,-,-,-,-,-
81617,RH4,1,8,2P,NA,NA,-,-,-,-,-,-
81617,RH5,1,9,4L,4,5,13,20,-,-,-,-
81617,RH5,1,10,4J,3,3,5,5,-,-,-,-
81617,RH5,1,9,4O,3,6,10,14,-,-,-,-
81617,RH5,1,10,4P,5,5,10,15,-,-,-,-
81617,RH6,1,11,8K,3,5,6,7,8,10,12,14
81617,RH6,1,12,8L,1,4,4,6,7,8,22,107
81717,RH1,2,1,2A,9,64,-,-,-,-,-,-
81717,RH1,2,2,2B,3,29,-,-,-,-,-,-
81717,RH1,2,7,2H,3,4,-,-,-,-,-,-
81717,RH1,2,8,2G,9,11,-,-,-,-,-,-
81717,RH2,2,3,4A,8,11,11,16,-,-,-,-
81717,RH2,2,4,4B,7,21,38,233,-,-,-,-
81717,RH2,2,4,4F,7,8,11,59,-,-,-,-
81717,RH3,2,6,8D,3,4,5,6,8,9,12,13
81717,RH3,2,6,8F,2,4,6,6,8,9,10,10
81717,RH4,2,7,2C,7,NA,-,-,-,-,-,-
81717,RH4,2,8,2D,9,17,-,-,-,-,-,-
81717,RH5,2,9,4C,3,4,6,16,-,-,-,-
81717,RH5,2,10,4D,3,4,6,35,-,-,-,-
81717,RH6,2,11,8E,2,2,3,5,5,8,14,17
81717,RH6,2,12,8G,3,3,4,5,6,7,8,18
81817,RH1,2,2,2J,NA,NA,-,-,-,-,-,-
81817,RH1,2,1,2M,7,105,-,-,-,-,-,-
81817,RH1,2,2,2N,6,12,-,-,-,-,-,-
81817,RH2,2,4,4K,8,15,19,25,-,-,-,-
81817,RH2,2,4,4N,2,7,10,11,-,-,-,-
81817,RH3,2,5,8O,1,2,4,7,9,11,11,17
81817,RH4,2,8,2L,15,231,-,-,-,-,-,-
81817,RH4,2,7,2O,6,21,-,-,-,-,-,-
81817,RH4,2,8,2P,9,27,-,-,-,-,-,-
81817,RH5,2,9,4L,9,10,15,21,-,-,-,-
81817,RH5,2,10,4J,2,4,15,73,-,-,-,-
81817,RH6,2,11,8K,1,3,4,6,7,7,11,12
81817,RH6,2,12,8L,4,7,11,14,16,16,17,26
81917,RH1,3,2,2B,4,5,-,-,-,-,-,-
81917,RH2,3,3,4A,NA,NA,NA,NA,-,-,-,-
81917,RH3,3,6,8F,3,4,5,5,9,20,NA,NA
81917,RH4,3,7,2C,3,16,-,-,-,-,-,-
81917,RH4,3,8,2D,9,300,-,-,-,-,-,-
81917,RH4,3,7,2H,5,9,-,-,-,-,-,-
81917,RH4,3,8,2G,11,11,-,-,-,-,-,-
81917,RH5,3,9,4C,5,6,9,39,-,-,-,-
81917,RH5,3,10,4D,2,2,3,8,-,-,-,-
81917,RH6,3,11,8E,1,1,3,4,4,6,11,11
81917,RH6,3,12,8G,2,3,4,4,4,10,20,38
82017,RH1,3,1,2M,12,34,-,-,-,-,-,-
82017,RH1,3,2,2J,11,23,-,-,-,-,-,-
82017,RH1,3,2,2N,8,8,-,-,-,-,-,-
82017,RH2,3,4,4K,9,12,14,127,-,-,-,-
82017,RH2,3,4,4N,3,3,3,6,-,-,-,-
82017,RH3,3,5,8O,6,9,13,21,21,27,28,35
82017,RH4,3,7,2O,3,4,-,-,-,-,-,-
82017,RH4,3,8,2L,6,27,-,-,-,-,-,-
82017,RH4,3,8,2P,4,19,-,-,-,-,-,-
82017,RH5,3,10,4J,6,300,300,300,-,-,-,-
82017,RH6,3,12,8L,6,7,7,8,8,15,17,26
92817,RH1,1,1,2A_2,7,112,-,-,-,-,-,-
92817,RH1,1,1,2E_2,8,22,-,-,-,-,-,-
92817,RH1,1,2,2B_2,24,37,-,-,-,-,-,-
92817,RH1,1,2,2F_2,11,32,-,-,-,-,-,-
92817,RH2,1,3,4A_2,11,18,37,111,-,-,-,-
92817,RH2,1,3,4E_2,7,14,20,23,-,-,-,-
92817,RH2,1,4,4B_2,19,32,37,57,-,-,-,-
92817,RH2,1,4,4F_2,5,22,27,40,-,-,-,-
92817,RH3,1,5,8E_2,5,9,10,12,15,15,16,47
92817,RH3,1,6,8B_2,5,5,7,8,12,30,60,300
92817,RH3,1,6,8F_2,3,3,4,4,4,5,7,12
92817,RH4,1,7,2C_2,7,47,-,-,-,-,-,-
92817,RH4,1,7,2G_2,51,53,-,-,-,-,-,-
92817,RH4,1,8,2D_2,35,60,-,-,-,-,-,-
92817,RH4,1,8,2H_2,17,19,-,-,-,-,-,-
92817,RH5,1,9,4C_2,6,23,42,43,-,-,-,-
92817,RH5,1,9,4G_2,3,6,7,14,-,-,-,-
92817,RH5,1,10,4D_2,6,8,13,14,-,-,-,-
92817,RH5,1,10,4H_2,9,23,25,52,-,-,-,-
92817,RH6,1,11,8C_2,3,3,4,17,26,33,66,66
92817,RH6,1,11,8G_2,2,3,4,5,7,8,10,66
92817,RH6,1,12,8D_2,16,16,19,21,22,23,55,72
92817,RH6,1,12,8H_2,3,4,5,6,7,7,12,13
92917,RH1,1,1,2I_2,4,23,-,-,-,-,-,-
92917,RH1,1,1,2N_2,6,9,-,-,-,-,-,-
92917,RH1,1,2,2J_2,60,66,-,-,-,-,-,-
92917,RH1,1,2,2O_2,15,17,-,-,-,-,-,-
92917,RH2,1,3,4I_2,5,101,111,200,-,-,-,-
92917,RH2,1,3,4M_2,38,42,56,60,-,-,-,-
92917,RH2,1,4,4J_2,10,18,18,21,-,-,-,-
92917,RH2,1,4,4O_2,11,13,36,44,-,-,-,-
92917,RH3,1,5,8I_2,15,16,19,26,29,29,31,300
92917,RH3,1,5,8M_2,2,3,3,6,7,9,13,21
92917,RH3,1,6,8J_2,6,6,11,16,26,82,95,123
92917,RH3,1,6,8N_2,3,5,9,10,13,20,31,59
92917,RH4,1,7,2L_2,4,17,-,-,-,-,-,-
92917,RH4,1,7,2P_2,2,6,-,-,-,-,-,-
92917,RH4,1,8,2M_2,57,130,-,-,-,-,-,-
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
